thickness,TransportTimeAfterHeating,EnforcedTemperatureOfEntireSheet,QuenchingTimeInTool,QuenchingForce,spacing,DefaultToolTemperature,HARDNESS P1,THICKNESS P2
1.4511,14.2142,938.9675,3.3241,537120.9399,1.1607,134.76,465.6667,1.4261
1.4654,22.7626,929.3932,9.327,1368013.4401,0.5613,141.4585,400.3333,1.4421
1.4804,10.4248,921.2861,2.5526,514221.6757,1.3179,97.0352,479.6667,1.4525
1.5082,17.1577,934.0552,2.8705,1326478.1202,1.6203,173.5037,436,1.4831
1.5275,13.5618,905.5107,4.8423,1002500.4744,1.5162,257.8131,428,1.4974
1.5034,17.0704,946.1979,9.8159,1306623.6288,0.4335,259.7676,443.3333,1.4723
1.4551,11.6524,913.7513,8.6204,1770522.3436,1.4757,198.4181,462,1.4268
1.4792,19.5539,932.8486,9.5188,1972920.5504,0.9364,186.03,405.3333,1.4538
1.5108,19.5285,949.0914,5.12,778558.4271,0.804,169.4797,428.3333,1.486
1.5046,18.3225,913.5372,3.4568,1720285.1562,0.2515,290.409,407,1.473
1.5473,14.4233,938.9515,5.2506,1070130.5298,1.7594,253.9073,462.6667,1.5153
1.5457,11.6313,938.374,3.8003,737897.5346,0.4513,141.818,485,1.5088
1.489,10.2104,929.9304,8.3187,841312.3598,1.7129,103.1538,481.3333,1.4587
1.465,15.5952,910.1424,3.1536,1671603.3873,0.8177,114.6682,418.6667,1.4382
1.5385,20.2332,923.7936,3.9991,998696.3958,0.9078,92.8472,418.6667,1.5133
1.5022,20.7889,922.0713,7.1116,1216570.6114,1.2925,173.7234,407,1.4753
1.5443,15.8369,904.1608,4.656,867534.9398,0.7621,191.6311,404.3333,1.5163
1.5396,15.661,905.0175,3.1802,1936386.6539,1.4719,211.7515,410.3333,1.5094
1.483,15.2053,941.8355,6.8717,1179955.2959,1.527,259.5882,455.6667,1.4577
1.5461,19.6053,945.2946,4.0543,1211578.5064,1.875,157.1097,429.3333,1.5202
1.4637,24.8799,914.298,9.7276,1230572.601,1.7305,184.9051,392,1.4388
1.5057,16.7577,935.6038,3.4173,948060.1921,0.3517,264.5121,430,1.4753
1.4875,17.0206,936.5517,5.5619,548389.2454,0.6088,263.3635,422.3333,1.4596
1.4625,23.5712,900.4659,4.9207,1479468.4007,1.5195,282.3494,340.3333,1.4372
1.5123,22.0651,940.2429,7.8896,1435870.2041,1.4805,84.621,411.3333,1.4886
1.5488,16.7791,948.1954,2.0481,642913.0403,1.8363,226.9251,427,1.5195
1.5145,24.6247,923.5858,6.2719,1517009.3537,1.1948,242.8031,384,1.487
1.4659,11.8957,922.7018,4.3678,1371216.7319,0.6027,252.5858,462.6667,1.4375
1.526,23.9169,912.3492,4.448,1923047.526,1.898,88.9436,369.6667,1.4993
1.5347,11.87,943.2203,2.4568,812063.3171,0.5298,118.2471,485.6667,1.4993
1.4595,23.5415,915.8988,9.266,1564309.7064,0.4367,268.8938,390.6667,1.4336
1.4939,17.2566,940.3667,5.8112,1541003.5257,1.7931,163.1643,443,1.4684
1.5205,12.6269,927.9598,7.0877,1056500.3088,1.9049,239.9551,465.6667,1.4896
1.5173,20.4715,943.0258,2.0641,914311.9628,1.0556,256.5242,406.6667,1.4915
1.4825,14.7099,948.9351,4.7521,1116224.3691,0.827,145.5391,476,1.4561
1.5264,10.227,944.8506,8.589,1043860.7253,0.531,296.0698,464,1.4899
1.4786,10.7816,930.6382,7.8967,1338907.6427,1.2859,223.654,478,1.4505
1.5452,17.0816,949.7034,3.0525,1444977.4029,0.6979,131.9817,462.3333,1.5163
1.5117,10.4508,911.1509,6.4954,1118265.1851,1.3325,237.5116,462.3333,1.4801
1.5495,22.7746,929.1484,9.9527,606806.4767,1.4025,234.6828,398,1.5215
1.4985,13.3839,946.7392,9.0676,739796.5802,0.7441,129.1968,481,1.4681
1.4808,13.9906,936.8924,7.5125,1423947.8784,1.0113,181.8386,468.6667,1.4541
1.4651,23.2472,945.8581,8.653,1572726.4778,1.5528,206.3442,431.6667,1.4417
1.5023,14.359,929.4463,5.5271,1529571.0509,1.8323,107.1553,462.6667,1.4756
1.4879,15.6259,942.6324,3.9874,1758069.1718,1.064,127.4566,463.6667,1.4603
1.455,15.5213,922.0155,6.2874,1951055.7673,0.8651,219.0959,430.3333,1.4294
1.4684,18.8197,915.7499,5.8468,588603.065,1.7752,267.923,402,1.4453
1.5156,10.967,931.5513,9.4114,844115.5945,0.3476,101.4276,486,1.4792
1.5311,13.105,918.6868,7.7685,1466650.1417,1.9714,82.2274,464,1.5007
1.5059,12.3731,900.4009,3.2325,507508.597,1.9962,232.2444,429,1.4782
1.457,17.8501,935.4502,8.4385,1163941.5037,1.7163,215.3001,423.3333,1.4333
1.5232,11.7108,929.0893,8.8873,1964584.8419,1.1508,212.1874,477.3333,1.4893
1.4757,20.682,901.6273,2.2,1878336.0588,0.2638,136.5526,372.3333,1.4492
1.4546,16.6695,925.0707,8.0814,1086568.3704,0.7384,266.6218,414.6667,1.4287
1.5363,16.0611,909.6482,4.1352,782502.0753,1.2683,180.1233,411,1.5094
1.4569,14.7652,942.4379,4.8336,1989335.5343,0.6906,134.9989,468.6667,1.431
1.521,14.3872,929.3422,9.1508,1826063.4358,1.2159,96.006,463.6667,1.4915
1.4714,11.9128,902.6029,2.1817,1303082.6523,0.2354,175.186,447.6667,1.4437
1.5452,10.3159,922.4501,3.1921,1273561.8461,1.4888,102.5419,478,1.5107
1.5282,16.1801,922.9228,9.9118,994995.7174,0.6554,151.5553,433.6667,1.5007
1.4823,20.2753,929.9437,8.6118,1497497.4809,1.3978,260.0434,417,1.4557
1.5431,19.7797,901.751,4.2427,1335845.0348,1.724,134.2952,384.3333,1.5169
1.4727,23.1656,932.1997,5.7918,1145135.6903,1.796,96.7113,402.6667,1.4479
1.4973,22.1257,909.5508,5.1668,1821783.4973,0.2618,81.0599,378.6667,1.4674
1.5465,14.124,911.9974,3.5306,1715109.8961,1.4414,242.4225,436.3333,1.5146
1.5047,22.6277,921.0426,3.8544,1916950.5117,1.1263,164.5563,391,1.4792
1.5425,11.5646,906.2306,3.6352,897525.4017,1.8934,243.6341,451.6667,1.5111
1.4578,22.3616,904.7747,4.4795,1015654.9716,0.6832,233.1389,359,1.4346
1.486,15.4612,938.6544,5.9224,1776955.4999,0.2448,163.8216,459.6667,1.4567
1.5032,14.3758,919.3781,4.9123,628165.5875,1.8969,129.9066,446,1.4805
1.534,15.8154,911.2186,4.2558,1495992.5095,0.9916,292.7247,401.6667,1.502
1.4846,19.0726,922.4818,9.8238,534587.8535,1.3016,126.1676,421,1.4596
1.4504,15.3836,902.011,4.6272,1504464.4351,1.6182,137.7112,408,1.429
1.5335,20.4424,907.9076,7.9924,1705659.4075,1.4242,261.0227,385,1.5042
1.4723,22.9069,948.2477,4.9523,1259610.1044,1.1664,278.4496,433.6667,1.4476
1.4617,21.0448,935.153,5.0293,1110657.9653,0.4407,239.6386,418,1.4375
1.4585,22.8637,914.3471,4.6717,1166539.5596,1.15,105.1647,379.3333,1.4336
1.5216,12.8951,939.306,4.5612,1331567.2767,1.1366,114.8997,481.6667,1.4906
1.4612,12.3047,904.936,3.2169,823517.5402,0.4998,204.0326,444.6667,1.4362
1.5212,14.169,908.2684,5.6649,1903037.4642,0.5969,275.115,423.3333,1.4893
1.4632,13.3378,944.3341,3.3957,1993987.1257,1.2057,158.1071,479.3333,1.4329
1.5132,11.2158,939.2052,5.5455,919778.2031,0.2146,108.5871,487,1.4701
1.4523,14.4574,907.2961,7.0194,1926979.1513,0.4441,185.7045,425.6667,1.4251
1.4557,12.033,913.367,3.3064,713269.3438,0.6661,120.08,459.6667,1.4284
1.5146,10.3008,908.6985,3.7581,1173250.251,1.3146,97.8675,476.6667,1.4811
1.5198,11.768,933.0226,2.0247,810429.5502,0.1841,296.3617,409.3333,1.4857
1.4793,10.5111,917.5516,3.767,503008.8309,1.6137,140.9277,474.3333,1.4508
1.4834,13.2423,918.4926,8.7557,1694322.1446,0.9922,98.8824,459.6667,1.4518
1.5206,20.3444,909.3969,8.8014,1592227.7351,1.9238,254.5553,389,1.4932
1.5153,13.2501,925.7123,4.3198,1460046.3764,0.5424,103.8703,468,1.4808
1.4917,13.6517,926.8964,7.0078,1314120.4057,1.2128,91.7285,465,1.4629
1.5381,23.7524,920.2236,7.344,1876362.3466,1.0759,161.5025,382.3333,1.5114
1.4675,17.3021,919.4926,6.4631,1587135.3923,0.1644,165.0398,410.6667,1.4411
1.4932,13.006,922.0611,8.7091,1409492.4389,0.5549,96.5353,465,1.4603
1.5215,16.2308,915.1635,8.004,577877.3312,1.453,171.3497,415.6667,1.4945
1.5127,10.6083,931.9018,4.8028,671321.2595,0.6268,212.5123,475.6667,1.4811
1.5412,22.2505,931.8024,6.4139,632281.0401,1.1426,216.2695,407.3333,1.513
1.5412,18.1308,942.2714,3.8629,1932297.14,0.8489,185.0785,437.6667,1.5107
1.5222,16.3798,932.629,2.9927,910780.8785,0.7721,117.527,445.3333,1.4967
1.5196,20.6205,927.0455,9.2017,1672418.0825,1.7075,182.7066,417,1.4941
1.5199,23.1488,928.6569,7.7365,689608.4755,0.8315,118.8325,397,1.4948
1.4966,23.0148,949.8091,7.9129,1485464.6244,1.1963,252.5245,437.6667,1.4694
1.4688,13.5383,918.7708,4.68,1350684.6937,1.4111,274.8807,439.3333,1.443
1.4876,18.574,929.2943,3.3213,1993303.561,1.2533,290.6837,399,1.4606
1.5279,24.2671,946.5742,5.2222,922015.3551,0.3412,224.0965,438.3333,1.5
1.5487,17.9183,921.6275,3.4424,1471098.5735,1.6506,175.5956,411.3333,1.5195
1.4626,18.0282,920.5939,9.7114,1158707.2055,0.4111,196.3187,402,1.4382
1.4567,17.2056,933.05,9.8397,540610.7516,0.7805,129.2263,428.6667,1.4329
1.5031,24.7014,922.8823,8.261,1854727.4098,1.5404,238.2068,401.3333,1.4769
1.4605,10.1354,905.1735,4.8565,982655.8958,0.8569,270.6039,444.6667,1.4313
1.4769,17.1712,945.9474,7.4354,1030135.1682,0.6425,199.7246,447.6667,1.4521
1.4971,13.9775,921.8527,2.6481,1492993.2333,1.7085,220.8984,448.3333,1.4701
1.4536,16.1668,900.1727,4.5092,1052056.819,1.1278,240.7636,410,1.429
1.5284,16.7509,924.3745,9.746,1880924.8314,0.9022,278.8417,415,1.4971
1.5085,24.2337,942.2202,6.1072,1249685.0996,1.3446,235.3344,409.6667,1.484
1.5494,21.9424,933.35,2.5153,894322.2176,1.4194,181.2027,414,1.5228
1.4701,21.629,941.511,5.0411,1782495.1964,0.5768,286.3344,421.3333,1.4453
1.4697,19.5388,948.9935,2.0961,800184.5686,0.1359,183.4512,423.3333,1.4453
1.4964,16.586,916.9003,7.7274,1320596.9437,1.3287,210.1176,414.3333,1.4704
1.5306,10.2555,945.5428,5.7525,1285424.64,1.4912,114.4307,486.3333,1.4948
1.4575,12.5085,945.4888,5.7842,1509528.194,0.6478,248.6188,477.6667,1.429
1.5403,10.3302,900.6009,2.5767,1765269.6364,0.6816,188.5717,464.6667,1.5052
1.505,18.2045,945.7905,2.9395,1455462.5282,1.6156,151.0551,442.3333,1.4798
1.5217,20.3084,939.2598,8.5823,1784802.1613,1.5687,82.8606,414,1.4951
1.4636,22.8196,916.3652,6.8149,1822780.6285,0.2255,217.1983,377.3333,1.4375
1.4713,12.2301,909.4358,4.0959,1093127.8712,1.1462,273.548,440.6667,1.4434
1.4665,21.317,906.519,8.7582,1204866.5209,1.76,130.6996,377.3333,1.444
1.464,16.2123,918.946,7.8001,728925.2215,0.8601,169.1778,419.3333,1.4404
1.5418,21.5836,947.8674,6.751,1392189.1025,0.5187,111.6953,424.3333,1.5143
1.4722,17.3878,930.9696,8.4089,772999.7458,1.8632,155.02,426.3333,1.4505
1.5254,21.8822,915.7001,5.7269,567692.4312,0.3236,208.4849,386.3333,1.4967
1.5348,22.837,939.6309,8.2711,950675.7469,1.3926,230.2637,411.3333,1.5078
1.4952,15.6851,946.1386,9.5509,888250.574,1.6281,124.5507,467,1.4697
1.4517,17.4855,941.0952,3.2423,571365.1749,0.233,100.7905,438.6667,1.4245
1.4765,17.6162,908.732,2.0666,1688037.0073,1.7498,230.925,410,1.4525
1.4802,21.9688,938.1655,2.6767,1379745.2769,0.1973,150.3952,409,1.4551
1.5099,20.11,908.6266,6.4452,865580.0454,0.3212,110.9498,393.3333,1.4834
1.5074,13.4622,913.9456,7.9446,707045.5741,0.5453,146.4238,447.6667,1.4798
1.4752,13.4804,916.2205,8.1085,666700.322,1.0069,292.206,425.3333,1.4492
1.48,15.1759,942.9368,2.6579,1730463.0837,1.7355,147.0666,466.6667,1.4544
1.5156,10.8941,938.0714,5.312,1500595.6382,1.4053,95.1759,488.6667,1.4814
1.4542,20.6669,910.3969,3.0827,1598099.2782,0.538,180.3638,388.3333,1.431
1.496,17.6024,945.5959,9.0468,1526523.701,1.2283,180.4027,445.6667,1.4691
1.479,19.3586,920.1522,9.5597,1407619.3447,0.5281,288.0568,407,1.4515
1.5008,22.2869,907.5428,3.2755,1864738.6731,0.4574,171.5507,370.6667,1.4733
1.4719,14.5138,937.3926,6.7768,1361069.1572,1.704,212.6224,462.3333,1.4463
1.5012,22.9544,904.7106,7.16,611917.4459,0.5058,86.5725,358.3333,1.4753
1.4661,13.3052,932.2987,8.1614,767602.3713,0.5888,83.3011,470,1.4385
1.4522,17.5905,921.7582,4.4077,1885814.5349,0.927,90.8094,411.6667,1.4255
1.5111,15.2156,934.2167,8.3758,525565.7971,0.2403,217.4962,448.6667,1.4785
1.4685,19.647,927.2784,5.7226,855064.7594,1.8673,132.764,423,1.4463
1.4695,10.6964,941.2454,7.4181,1779597.4487,0.102,278.0871,470,1.4336
1.5219,20.6979,945.2423,4.4785,1232254.1002,1.6517,222.3366,412.3333,1.4964
1.5372,24.9721,901.5505,6.5857,604303.7924,0.3505,211.9681,348.3333,1.5068
1.4974,22.3167,913.8443,2.1464,1517356.8864,1.6627,285.5862,393.3333,1.4723
1.4734,19.4634,918.9034,7.1998,1271205.4229,1.5378,98.0324,415,1.4512
1.4845,18.2705,928.967,3.586,611167.9416,0.2692,214.0329,407,1.4561
1.4579,14.6566,949.3846,9.4554,792832.4911,1.5103,128.0919,475.6667,1.4323
1.5113,11.8318,914.0991,6.5119,1724518.211,0.635,80.6618,468.6667,1.4775
1.5145,10.3601,903.2063,9.7034,1122512.8329,1.47,216.6128,461,1.485
1.5053,14.6642,948.9995,8.967,1341134.8132,1.2415,145.7662,477.6667,1.4772
1.5071,19.0892,948.3543,7.7473,835297.5314,0.8297,138.8165,435.3333,1.4831
1.5392,12.1503,907.072,6.0746,1180947.2706,0.3906,139.9013,458.6667,1.5033
1.5041,14.8734,930.0728,2.4009,1490883.7455,0.985,195.1053,452.6667,1.4772
1.4631,11.1986,947.2488,4.2242,1155102.3967,0.7346,280.0059,469.3333,1.4349
1.5185,14.0923,948.4253,4.556,1958878.7166,1.7218,233.3173,475.6667,1.488
1.5239,15.0251,937.9622,9.4711,1957179.8174,1.9849,204.4152,463.3333,1.4938
1.4582,20.8306,934.3656,6.5673,1566595.5157,1.379,205.3685,420,1.4355
1.5499,17.2729,926.1192,4.3401,1739234.1344,0.2745,162.0846,427.6667,1.5143
1.4559,18.0685,933.1988,3.4969,1018110.3843,0.2483,247.6321,414.3333,1.4294
1.4836,19.8699,920.3821,4.8571,1700166.4915,1.1146,202.4376,411,1.4587
1.5242,11.7386,911.4994,3.5437,1526071.9695,0.8189,288.694,436.6667,1.4935
1.451,14.1984,915.9582,2.8605,762972.3012,0.1476,299.102,410.3333,1.4232
1.538,22.1893,905.2514,8.4823,1257354.1256,1.6851,80.4412,370.3333,1.5124
1.4861,24.1023,926.0545,5.7627,1103264.6379,1.4587,257.3955,380.3333,1.4622
1.4977,13.9379,936.4034,6.911,582931.0368,0.5218,168.4094,466.6667,1.4697
1.4705,10.7839,943.7935,7.5765,1667271.3492,0.9401,264.3192,475.3333,1.4411
1.4588,13.2674,912.2752,2.6596,1264686.7146,1.2734,148.4626,448.6667,1.4346
1.5455,17.3542,944.9274,6.0561,969453.2085,1.6345,189.4919,449.6667,1.5179
1.5256,14.5514,947.7065,3.2663,807234.5422,1.604,210.701,471.3333,1.4967
1.5096,11.367,921.095,8.5029,975447.9586,1.5885,287.0154,442,1.4772
1.5044,11.3127,918.5577,5.9522,1520053.0034,0.3975,83.8023,476,1.4681
1.5286,11.0942,908.4858,2.4161,839588.8819,1.1048,216.8927,452.6667,1.4967
1.5165,18.351,935.916,9.7596,1386364.0007,1.0515,289.8555,410.6667,1.4867
1.4554,19.5849,911.6656,6.1149,1329005.7508,1.5157,288.4483,395,1.4303
1.495,10.7505,932.1828,8.8979,1599068.879,1.235,94.3442,487,1.4619
1.5237,21.539,908.7911,8.0982,1385990.6018,1.67,195.5688,379.3333,1.4967
1.5413,18.5283,902.7005,2.377,705008.4181,1.9656,217.2769,387.6667,1.5146
1.5081,16.4824,905.7196,7.0955,1550028.6403,0.9627,200.008,400.3333,1.4811
1.4914,23.0422,940.4034,7.5535,1381517.606,0.3642,127.2522,428.6667,1.4655
1.5018,20.9076,941.2959,6.6637,1681820.5594,1.1693,245.4713,421,1.4756
1.5349,21.3435,946.2594,4.4395,1222873.2117,0.8946,149.5134,421.3333,1.5081
1.4628,23.9615,916.6919,9.038,580841.9306,1.8516,115.8559,395.3333,1.4395
1.4965,14.5598,910.9599,7.1321,1196224.2375,0.8466,142.7721,434.6667,1.4704
1.5045,16.1373,904.0152,2.3039,560058.218,1.7663,122.1107,402.6667,1.4827
1.5231,11.5922,902.9533,5.3721,1989814.2574,1.3031,244.5995,448.6667,1.4906
1.5225,10.586,949.8634,7.6564,719651.4907,1.1784,292.9428,455,1.4889
1.4806,17.6418,937.0587,5.8228,553400.1975,1.1904,271.1156,413.6667,1.4551
1.4788,14.0915,904.3531,4.1112,899563.6999,0.3346,276.7623,411.3333,1.4502
1.5116,12.756,935.3803,9.7901,603711.3924,1.9772,131.4546,476,1.4824
1.5255,13.2912,918.1022,9.2467,1842454.1157,0.6622,268.7516,445.6667,1.4909
1.5182,15.2627,942.2794,5.5981,1577599.8412,0.7248,266.2381,455.6667,1.4876
1.4753,12.4179,920.5052,4.5198,753991.3217,1.9942,105.5208,465.6667,1.4479
1.5265,10.689,943.0639,8.9117,832837.0056,1.2252,95.7665,477,1.4919
1.5109,14.0642,910.5444,3.7423,1282606.7465,0.8772,281.5833,421.3333,1.4798
1.5329,17.7729,939.4068,4.9568,1403894.1793,0.6852,83.9858,442.3333,1.501
1.4887,21.9017,902.858,5.3941,664614.5555,0.8913,259.2593,357.3333,1.4639
1.4871,11.9267,907.1758,3.5955,1062637.1299,0.9497,172.9643,456,1.4567
1.4873,24.951,916.5998,9.8976,916196.1399,0.7592,192.607,395.3333,1.4616
1.4736,24.4447,928.898,2.1284,1551585.9903,0.8618,215.7307,381.6667,1.4508
1.5312,15.4308,914.5491,9.6351,804212.6042,0.1114,270.7242,412,1.4932
1.5337,15.9078,917.4022,2.4886,1511301.0748,0.6242,116.2993,431.6667,1.5065
1.5095,11.9911,904.8884,9.2388,1378288.7642,0.8107,167.3468,454.6667,1.4811
1.5289,24.4662,921.5901,5.3363,1853661.4394,0.9556,111.9097,399,1.4987
1.5094,14.5828,940.737,9.8092,746072.0829,1.2549,158.7743,467.6667,1.4831
1.4997,12.0964,903.3266,3.2511,1743199.6486,0.7969,284.8081,431.6667,1.4674
1.4597,12.9551,918.5406,3.8426,1895741.943,1.0604,289.5932,440.6667,1.43
1.5263,15.4618,907.7745,9.0056,1317493.5166,1.1014,159.2127,420,1.4977
1.5314,16.5623,917.6635,3.2197,777662.5996,0.4708,140.3683,419.3333,1.5039
1.4951,16.7081,926.3675,4.0432,1602459.2888,1.955,127.8101,432.6667,1.4701
1.4722,16.0858,934.5122,3.4732,609394.5279,1.3652,145.3322,443.3333,1.4502
1.5296,21.4771,905.6037,6.6061,1388282.4507,0.4949,175.3905,374.3333,1.5016
1.5188,19.1937,924.0875,3.173,620470.7285,1.0815,247.4342,400.3333,1.4935
1.5382,12.1756,936.0547,3.1204,1748975.3732,0.6656,270.9628,460.3333,1.5026
1.4702,14.5288,917.7425,6.5179,1113077.5444,1.003,93.9323,444.6667,1.4443
1.4662,17.1169,911.2487,4.0477,954890.918,0.8564,145.2383,401.3333,1.4434
1.4888,10.4022,928.3488,8.0499,731796.9101,0.468,109.3112,484.6667,1.4554
1.5449,13.7169,936.6074,4.7361,796472.6012,1.9612,277.292,455.3333,1.513
1.5271,23.3731,907.6098,7.7765,1908412.9388,0.3453,271.5594,358,1.4967
1.5056,20.8592,917.1165,6.9737,624706.4722,1.7516,151.7636,398,1.4814
1.5112,14.8305,929.2062,9.1186,851817.1609,0.385,184.1462,453.6667,1.4831
1.4784,22.7114,911.0918,5.4244,1539439.4348,1.4853,274.1585,370,1.4528
1.4853,12.2052,905.3476,2.2727,1738015.9792,1.2375,107.8835,454,1.4564
1.4797,13.8587,942.7475,7.4322,1200854.4185,0.9702,173.8825,475,1.4535
1.4802,10.1654,942.7017,5.4582,667501.0285,0.8352,153.2121,476,1.4489
1.5454,18.5886,925.2973,3.1271,970941.2458,0.4268,137.5754,410.3333,1.5133
1.4648,20.1271,929.8484,5.1456,735971.7645,1.8878,260.6265,412.6667,1.4427
1.5118,24.3543,946.2924,8.4563,1851162.8397,0.1381,268.4583,421.3333,1.4811
1.5374,18.5482,912.741,4.5453,1640118.9008,0.8165,236.9169,412.3333,1.5068
1.5301,10.7534,937.1721,9.0549,1998300.5005,1.211,258.8205,471.3333,1.4954
1.5491,14.2899,945.1911,2.3287,1061012.0308,0.8867,234.0082,464.3333,1.516
1.4819,13.0595,907.7269,8.5081,817730.5237,0.3941,200.0818,441.6667,1.4544
1.4748,14.9649,928.5772,9.6393,1974464.0609,1.8097,87.3885,454.3333,1.4463
1.4639,20.155,913.4426,8.231,928582.7645,0.8822,126.6109,399,1.4414
1.5031,11.2219,929.7448,3.1357,1961695.5734,1.9505,129.7176,484.6667,1.4717
1.4529,23.1336,922.4028,2.7084,1969194.0709,0.5596,249.8281,384.3333,1.4287
1.5203,13.3104,940.5246,8.1646,1171120.8922,0.727,193.5789,477,1.4909
1.538,15.8549,900.651,9.3648,1695530.3502,1.8164,80.0049,409.3333,1.5124
1.4889,17.9,925.5033,2.104,590041.7709,0.5143,240.4088,389.3333,1.4645
1.5014,19.0322,905.1093,2.9092,1285070.5943,1.5127,266.9973,393,1.474
1.5362,10.1792,904.4452,8.1935,1019376.8996,1.0308,106.1601,474.6667,1.5023
1.5062,13.7698,929.7944,6.527,1324949.847,1.0082,164.1783,465.6667,1.4788
1.5448,12.7985,901.2225,8.9455,909489.7871,1.3996,116.0603,445.3333,1.5124
1.523,19.8248,929.0351,3.3702,1847642.766,1.8549,158.3287,402.6667,1.4971
1.5129,19.4828,903.6546,9.0136,683942.6104,1.5934,237.9788,382,1.4854
1.4749,23.1552,933.1319,4.0673,1762350.3433,0.1966,187.932,400.6667,1.4479
1.5143,11.1099,903.9098,6.8234,1832254.6681,1.856,207.9643,459.3333,1.484
1.4595,12.9137,949.1991,3.7889,1334995.8383,1.0802,167.8167,484,1.4307
1.5457,13.417,923.1268,4.7036,1215260.0022,1.7967,194.5063,462,1.515
1.4911,16.4688,910.3162,2.3601,1728140.4654,0.4636,181.4826,406.6667,1.4645
1.4892,12.0193,904.2614,9.4239,1644753.1155,1.2789,115.4744,454.6667,1.459
1.4732,22.0468,919.8196,3.01,821946.1781,1.1212,182.9631,390.3333,1.4502
1.4912,10.0383,927.4405,2.6964,1628535.3314,0.1704,151.937,479.6667,1.4518
1.546,24.0271,936.7139,8.0657,1220068.7914,0.1315,190.1402,402.3333,1.5137
1.5178,22.3872,917.0337,6.8478,1716204.448,1.9791,101.3736,390,1.4925
1.5364,24.7445,926.4205,8.3988,1383448.0574,0.5031,279.5148,393.6667,1.5075
1.5285,16.7192,916.0495,8.5396,521017.7137,0.8125,104.7877,416.3333,1.5029
1.5353,21.0777,947.6472,6.203,1162682.4503,0.719,96.2451,419.3333,1.5094
1.4557,15.2352,919.7555,9.1307,1505977.8394,0.1888,226.1912,430.6667,1.4271
1.4805,24.9148,940.0647,6.5448,1059438.7718,1.2775,134.0073,397.6667,1.458
1.5225,15.8001,903.3061,6.3492,1033730.4526,1.3692,171.7698,407,1.4967
1.501,17.3828,918.2544,2.16,794298.9206,1.6297,176.6093,407.6667,1.4792
1.4938,14.0421,944.6555,5.4108,848673.694,1.2322,199.4532,474,1.4681
1.51,24.4295,909.7072,6.6542,844814.0988,1.6099,292.4827,377,1.4847
1.4541,20.6052,905.9302,2.1684,1718078.2336,1.0984,255.7691,383,1.431
1.5384,17.677,949.5991,9.2703,1630724.3,1.7262,139.3782,456,1.5111
1.4593,13.3544,900.0683,9.296,869474.1065,1.6092,102.0152,431.3333,1.4342
1.4809,10.9095,942.8724,4.6961,1209766.09,0.7898,247.206,478,1.4515
1.5253,12.8855,949.5156,3.7353,1356082.9315,0.3084,276.4003,470,1.4886
1.5204,12.3233,947.1459,2.3846,1869759.5252,1.1185,274.64,465.3333,1.4867
1.5104,20.3805,910.7783,5.0061,1050649.2167,0.3744,227.1812,390.3333,1.4831
1.463,15.8754,922.5638,7.1076,638745.5564,1.0853,177.4912,425.6667,1.4414
1.4644,12.2909,906.601,8.8223,1365323.0869,0.4463,294.7239,430.6667,1.4349
1.4945,21.6365,937.6057,3.6509,796263.6536,1.4011,239.0924,425,1.4707
1.4752,22.4216,915.3361,4.4556,1313555.9844,0.4536,222.9745,380,1.4495
1.4729,11.3383,943.3436,7.8082,619699.0965,0.6116,99.4775,486,1.4408
1.4988,11.2628,913.0947,3.6022,519504.5488,1.6755,192.3217,462.6667,1.4717
1.5092,15.4453,932.5119,2.3188,859835.732,1.9088,181.6961,450.6667,1.4857
1.5394,24.7287,920.6735,5.618,1906830.6344,0.3794,170.6616,394.6667,1.5098
1.4729,22.7229,942.4807,6.0158,1830274.6603,1.7462,121.5229,426.3333,1.4499
1.5366,14.3034,921.5005,8.5442,1413233.5959,1.8904,100.1908,455.6667,1.5078
1.4524,19.113,912.5294,7.0701,724223.9768,0.7746,174.9616,403,1.4303
1.4944,16.919,941.5681,6.1229,1260870.6691,0.3816,286.7712,433,1.4645
1.528,22.7424,924.781,9.9777,760351.6482,1.7104,213.5497,391,1.501
1.4747,21.2287,908.548,5.4453,1731859.3034,1.4622,296.4774,376.3333,1.4486
1.4679,14.604,918.0536,5.1777,557056.7861,0.9411,168.6865,436.3333,1.4443
1.5419,16.7328,917.6085,2.7899,748237.9985,0.704,127.0114,418.3333,1.5156
1.4708,18.6867,906.1401,7.3684,694178.6616,1.7798,80.881,400,1.4482
1.5111,19.7348,927.0006,7.3921,1625457.0573,1.8191,214.1729,422,1.4857
1.5101,21.2455,943.6912,3.9717,736246.1009,1.8033,282.0433,428.3333,1.4837
1.473,14.7696,925.4146,8.1862,1372621.9608,0.407,232.676,442.6667,1.4437
1.4827,15.7822,901.9081,6.1781,1176916.8467,1.6006,161.6858,403.6667,1.4583
1.4681,13.2307,919.7089,4.9444,1651898.27,0.388,129.6155,459,1.4368
1.5168,17.1848,907.9772,4.8003,1733500.4417,0.8132,168.0086,413.6667,1.4893
1.5361,21.7429,949.9818,8.0555,1127373.45,0.765,194.5246,429,1.5085
1.4838,10.8401,917.802,6.1562,522527.9618,1.5916,178.262,471,1.4528
1.4832,14.9349,934.7023,7.6487,1346252.1333,1.1635,123.2428,460.6667,1.4557
1.4601,18.2806,930.2443,2.6265,1088053.4733,1.2475,123.7555,416.3333,1.4375
1.5373,12.1216,914.6493,3.8201,1612310.2206,1.588,125.0015,467,1.5059
