thickness,TransportTimeAfterHeating,EnforcedTemperatureOfEntireSheet,QuenchingTimeInTool,QuenchingForce,spacing,DefaultToolTemperature,HARDNESS P1,THICKNESS P2
1.5341,12.7462,945.0988,3.5213,1447758.3198,1.8242,241.2774,479,1.5013
1.4614,18.1629,909.5853,9.5112,767895.285,0.7194,134.0669,410.3333,1.4378
1.5024,16.864,904.3127,5.8561,880920.7205,1.1528,269.6905,408,1.4762
1.4848,17.0872,902.0827,2.9781,1740313.8833,0.4606,117.4457,411,1.4583
1.4692,24.5411,906.85,6.2114,991994.872,0.9043,86.8021,366,1.4443
1.5265,17.8198,902.9036,5.6895,945702.0906,1.5082,241.3962,400.3333,1.4987
1.497,13.7772,917.287,4.0222,1175297.7586,0.1209,172.2565,451,1.4678
1.5424,11.0642,937.0047,4.0867,677259.0245,0.767,97.5658,483.6667,1.5081
1.4634,20.4714,947.4426,2.5366,545812.9436,1.9265,166.613,419.6667,1.443
1.5136,11.7911,944.0572,7.4483,554726.5991,0.1046,89.5618,486,1.474
1.4946,24.0525,913.6559,9.1822,627783.3188,0.4033,165.3559,386.3333,1.4684
1.4706,19.2843,903.5142,5.6255,1766730.8414,1.9632,106.8486,391,1.4463
1.4892,11.9053,920.8679,5.2004,1636333.5013,0.9525,201.2441,468,1.4609
1.4568,24.7296,933.7503,8.243,1139424.0329,0.9952,216.1266,386.6667,1.4339
1.5383,14.0479,941.6237,9.9637,1571207.313,0.5748,191.7177,474.6667,1.5068
1.5055,18.3063,945.158,8.2907,1752560.5761,0.3114,93.8827,441.6667,1.4785
1.5038,17.5204,904.9971,7.5443,1137105.83,1.4289,283.4414,405,1.4759
1.5354,23.896,935.5513,4.0312,1332759.1032,0.5995,120.4951,403.6667,1.5085
1.5226,15.3556,935.8038,7.3063,1221623.2779,1.9695,120.997,461,1.4948
1.5291,10.7162,923.1093,6.7114,1966301.6823,1.1122,89.0596,485.6667,1.4945
1.4837,17.7398,932.676,4.2716,1849560.8033,1.2447,98.3073,429,1.458
1.5259,14.8449,936.1447,8.3007,1184462.6192,0.9135,294.0293,444.3333,1.4935
1.5125,19.7195,911.8489,2.7327,1402085.8757,0.9583,152.82,403,1.4867
1.5192,17.8045,900.801,9.6014,1073964.7865,1.556,230.0427,398,1.4919
1.4619,19.0459,909.2537,3.3786,672079.7823,1.3369,95.4479,402,1.4398
1.4773,22.6872,944.8036,3.2568,1953036.8036,0.1933,119.405,428,1.4508
1.5317,15.7609,943.4141,8.9917,600530.3683,1.3615,249.0256,450.6667,1.5016
1.5477,21.0712,919.0204,6.7464,1837557.5835,0.6719,248.2889,400,1.5173
1.517,21.5078,937.5574,7.8167,966446.4832,1.3628,294.4928,414.3333,1.4902
1.4854,16.5458,916.0986,3.9781,623059.3937,1.4429,144.6615,413.6667,1.4632
1.5294,13.8374,943.5905,5.5101,1029509.9587,0.9732,225.8581,473.6667,1.4967
1.4513,12.5897,945.7422,3.6074,1676485.7828,0.1722,200.3969,482.6667,1.4199
1.471,14.6412,931.9495,8.8538,1583146.543,1.9809,165.5939,458,1.445
1.4711,11.7787,905.6535,6.0778,1655033.7049,0.5062,98.6572,458,1.4398
1.4958,10.6613,906.7294,6.0629,1156142.0769,1.5954,297.3549,430,1.4648
1.49,16.9811,943.431,6.8932,1793439.8463,1.1248,265.8915,439.6667,1.4622
1.5073,21.0987,944.9491,4.0126,681297.2981,0.3678,118.9951,421.6667,1.4814
1.545,16.6282,902.7612,9.7414,988973.9968,0.5007,112.7205,420.3333,1.5166
1.5409,20.41,929.5311,2.4967,726210.913,1.9372,88.4429,424,1.5166
1.5295,10.0902,933.2498,3.4523,518040.0935,0.1526,262.327,441,1.4902
1.4791,23.9776,930.8466,9.3424,1354591.1255,0.9455,261.9387,387.3333,1.4525
1.5323,18.399,911.4022,8.0369,1410462.7121,1.6544,160.7511,415.3333,1.5046
1.5058,19.338,934.7529,7.4863,930148.778,0.2575,112.1262,413.3333,1.4785
1.5122,17.2068,938.5113,4.1585,1981542.8722,1.2385,144.8908,443.3333,1.4847
1.456,24.2592,939.5116,8.7808,626170.1453,0.2977,261.7583,410.3333,1.432
1.5333,18.2188,941.0502,5.6816,539014.1186,1.5254,162.5695,432,1.5062
1.4994,24.1233,903.8327,5.4768,1489799.5145,0.9116,178.4802,346.3333,1.4743
1.5468,11.308,947.3935,3.2825,846734.3629,1.807,180.9619,484,1.5182
1.537,21.2868,919.3526,8.6657,582561.7026,1.6565,295.409,390.6667,1.5091
1.5121,22.6639,923.8394,4.8197,505482.3414,0.6032,210.4577,390,1.4857
1.4506,13.7475,934.9121,8.7209,1440711.6896,0.3065,240.1275,461.6667,1.4229
1.4657,22.0915,906.6343,2.6066,1628335.1758,0.2728,136.7428,369.3333,1.4398
1.4961,19.2731,909.2917,9.9681,1753751.2246,0.2467,202.7824,400,1.4648
1.4821,12.8724,907.42,8.3658,510510.2495,0.5806,272.016,426.3333,1.4531
1.5392,18.2552,922.7244,6.8681,906649.3669,0.3298,81.9806,411,1.5081
1.5069,23.2898,935.6986,3.5077,709771.071,1.3525,267.6603,400,1.4808
1.4971,18.8512,923.4505,6.5654,1265886.6337,0.9673,174.4621,400.3333,1.472
1.4744,24.6846,909.8538,3.4878,780422.1617,0.6434,149.0715,380,1.4508
1.4764,15.6982,928.0368,7.4803,965988.2216,1.7481,297.794,423,1.4521
1.5441,22.2367,932.0303,9.8316,1588053.6914,1.2132,245.2397,410.3333,1.516
1.4863,11.0226,936.5085,8.4883,1885180.7946,1.0875,119.7638,486.6667,1.4544
1.4896,19.4319,915.3483,7.2524,1508010.2035,1.0931,171.8031,409,1.4645
1.5009,11.474,924.0528,9.3823,1719909.9942,1.4394,144.1297,477.3333,1.4678
1.536,14.1543,927.1315,6.7372,877962.6634,0.3723,138.9191,461,1.5055
1.4842,24.4022,943.8823,5.5497,1605058.5641,1.014,189.1279,421.3333,1.4596
1.5186,18.6327,917.9125,5.3049,1077613.0374,1.1391,209.0721,393.3333,1.4928
1.4649,21.663,943.9776,9.5676,657788.6426,1.6407,298.7558,415.6667,1.4408
1.4982,24.4738,936.8124,7.1358,1963400.5491,0.6285,110.615,399,1.4701
1.531,16.1511,911.6304,6.5996,1153252.9304,1.3489,234.2326,410.3333,1.502
1.4814,24.3454,906.9549,6.0886,1524318.3327,1.9867,269.3006,374.6667,1.4554
