1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.886362071281347808e-01,9.776482021379984122e-01
6.106106106106094084e-02,7.329129129129128284e-01,6.777077487848409687e-01,2.405435871743487053e-01,4.860283639475838219e-02,5.215742057847316988e-03,1.997639947435193297e-01,5.363637417355132664e-01,1.137026239067059769e-01
1.681681681681694851e-01,3.122589255922589291e-01,9.357342129348695803e-01,9.989979959919841335e-01,9.078864939139545953e-01,8.092302829144933929e-01,9.259174408884561780e-01,8.113634519628518671e-01,1.739552964042762606e-01
1.401401401401468003e-02,7.331064397731062998e-01,9.377950280082570922e-01,3.932865731462926728e-01,1.221248876060627431e-01,2.863389705494968629e-01,3.680377426588137268e-01,6.068180439049900565e-01,8.843537414966091970e-02
1.981981981981983942e-01,8.405872539205873073e-01,7.864082336471626133e-01,4.245991983967936645e-01,3.476716319902703467e-01,5.643011432485116607e-01,9.229010100679513329e-01,5.954548646693488267e-01,2.623906705539371664e-01
3.063063063063056202e-01,3.604938271604929412e-02,1.187081553401936745e-01,6.161573146292584902e-01,2.598709078720458088e-01,7.251988830936199060e-01,2.589262215385706445e-01,8.681820754131646112e-01,3.129251700680272807e-01
9.079079079079069858e-01,6.746212879546211738e-01,7.642579763957551009e-01,3.437249498997995700e-01,7.291172971059001195e-01,8.519045361150624496e-01,7.115908490689110133e-01,4.522730790288455593e-01,8.892128279883395603e-01
2.242242242242237504e-01,1.851317984651317250e-01,5.305747651291656819e-01,2.757139278557114159e-01,1.536450147321564985e-01,9.635951741214900113e-02,5.017666302567648229e-01,8.477275346073784856e-01,2.439261418853267693e-01
4.944944944944951182e-01,3.553553553553553401e-01,4.523979756347160652e-01,9.900425851703407165e-01,8.016413970933844446e-01,6.756756756756756577e-01,4.005725582069781521e-02,7.090907479339210173e-01,4.810495626822167692e-01
2.412412412412411056e-01,8.387787787787787108e-01,7.597337963658359339e-01,3.105711422845691128e-01,5.295981077206955989e-01,5.300036878984247801e-01,9.355626557136953458e-01,4.522730790288455593e-01,2.944606413994168559e-01
0.000000000000000000e+00,4.520120120120119656e-01,5.490920597536237402e-01,2.005010020040080276e-01,8.631197558952780069e-02,9.639639639639639990e-01,1.835177238038483427e-01,5.795453228306084448e-01,7.580174927113732253e-02
4.754754754754759727e-01,6.816950283616950435e-01,5.224777045444084500e-01,2.230711422845690906e-01,9.659232001866532302e-01,2.799114904378062207e-01,4.491181849050273622e-01,5.295455614669177802e-01,5.004859086491749709e-01
5.325325325325334092e-01,9.459325992659327609e-01,9.268640963556221690e-01,4.742610220440882096e-01,3.393190313247131801e-02,1.639007428481112638e-01,6.675648684902525665e-02,5.136367014462041025e-01,5.694849368318755101e-01
8.308308308308296475e-01,4.142208875542209290e-01,9.052365531315744590e-03,8.221442885771544640e-02,3.223860411272794213e-01,2.456667193509299019e-01,8.704648421714847317e-02,5.454544214876314578e-01,7.978620019436331035e-01
